epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
156,3714.48,0.96292,0.53358,1.0909,0.85646,0.71457,0.77843,0.52984,1.5753,0.8996,1.69921,0.006931,0.006931,0.006931
157,3737.81,0.9698,0.53315,1.09353,0.82097,0.74115,0.79876,0.5432,1.58201,0.89291,1.72202,0.0069112,0.0069112,0.0069112
158,3761.22,0.95658,0.52117,1.09387,0.8368,0.72628,0.77937,0.53802,1.56894,0.88092,1.71816,0.0068914,0.0068914,0.0068914
159,3784.75,0.97799,0.52984,1.08902,0.85481,0.71597,0.79397,0.54445,1.5549,0.87351,1.71507,0.0068716,0.0068716,0.0068716
160,3808.26,0.95595,0.53496,1.09491,0.79633,0.78849,0.80826,0.54276,1.5608,0.86793,1.72081,0.0068518,0.0068518,0.0068518
161,3831.49,0.95893,0.52645,1.08791,0.79243,0.73866,0.77441,0.53865,1.56485,0.87972,1.73327,0.006832,0.006832,0.006832
162,3854.98,0.95913,0.52752,1.0862,0.82553,0.7113,0.7661,0.52399,1.57542,0.89172,1.73103,0.0068122,0.0068122,0.0068122
163,3878.42,0.95068,0.52062,1.08664,0.86065,0.71498,0.77943,0.52568,1.57272,0.88393,1.72588,0.0067924,0.0067924,0.0067924
164,3901.84,0.9543,0.52844,1.08879,0.83694,0.71593,0.77132,0.53104,1.58754,0.89457,1.7129,0.0067726,0.0067726,0.0067726
165,3925.13,0.9558,0.53119,1.08363,0.76621,0.75074,0.76627,0.53188,1.58191,0.89774,1.70357,0.0067528,0.0067528,0.0067528
166,3948.57,0.95684,0.53313,1.09162,0.81342,0.72693,0.78857,0.53922,1.56605,0.8888,1.67462,0.006733,0.006733,0.006733
167,3972.08,0.93907,0.52349,1.0879,0.84332,0.70936,0.79848,0.54988,1.55686,0.87397,1.67637,0.0067132,0.0067132,0.0067132
168,3995.71,0.94365,0.51839,1.08712,0.78097,0.80458,0.8122,0.55215,1.5567,0.88543,1.70427,0.0066934,0.0066934,0.0066934
169,4019.42,0.94122,0.51922,1.0773,0.83482,0.71978,0.7928,0.53923,1.56241,0.89663,1.71971,0.0066736,0.0066736,0.0066736
170,4043.25,0.95366,0.52141,1.08745,0.84465,0.70943,0.78678,0.53322,1.56877,0.89556,1.71128,0.0066538,0.0066538,0.0066538
171,4067.03,0.95299,0.52539,1.08756,0.83842,0.72259,0.77288,0.5325,1.56777,0.90424,1.7193,0.006634,0.006634,0.006634
172,4090.69,0.95145,0.52141,1.07825,0.81923,0.71169,0.76813,0.5281,1.57642,0.90357,1.71324,0.0066142,0.0066142,0.0066142
173,4115.15,0.93971,0.51495,1.07784,0.81665,0.72462,0.77388,0.53928,1.55337,0.87812,1.69149,0.0065944,0.0065944,0.0065944
174,4138.51,0.93226,0.51622,1.07874,0.83047,0.72934,0.77759,0.54212,1.54517,0.86118,1.69648,0.0065746,0.0065746,0.0065746
175,4162.13,0.93823,0.51975,1.07981,0.81317,0.72897,0.77236,0.53453,1.55879,0.87828,1.71906,0.0065548,0.0065548,0.0065548
176,4185.4,0.93775,0.5173,1.08614,0.82543,0.7383,0.79371,0.54667,1.55736,0.88363,1.71676,0.006535,0.006535,0.006535
177,4208.61,0.94628,0.51551,1.07971,0.78282,0.80482,0.80787,0.55009,1.55813,0.87519,1.70254,0.0065152,0.0065152,0.0065152
